holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,hour
No Holiday,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545,9
No Holiday,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516,10
No Holiday,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767,11
No Holiday,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026,12
No Holiday,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918,13
No Holiday,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181,14
No Holiday,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584,15
No Holiday,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015,16
No Holiday,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791,17
No Holiday,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770,18
No Holiday,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539,19
No Holiday,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784,20
No Holiday,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361,21
No Holiday,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529,22
No Holiday,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963,23
No Holiday,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506,0
No Holiday,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321,1
No Holiday,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273,2
No Holiday,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367,3
No Holiday,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814,4
No Holiday,278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,2718,5
No Holiday,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673,6
